species,tray,plant_id,measurement,days,a,b,c,plant_effect,tray_effect,diameter_cm,height_cm
Pinus_radiata,T1,1,1,15,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,16.5155246297885,34.06886122361672
Pinus_radiata,T1,1,2,30,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,23.669465316200533,53.632519327525
Pinus_radiata,T1,1,3,45,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,26.125861213925916,48.68283035099577
Pinus_radiata,T1,1,4,60,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,25.37845862114743,51.702820006926395
Pinus_radiata,T1,1,5,75,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,23.99780863235465,47.385587571799114
Pinus_radiata,T1,1,6,90,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,NA,46.2761853975488
Pinus_radiata,T1,1,7,105,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,25.158256175115874,52.83274044671875
Pinus_radiata,T1,1,8,120,25,0.02,1.5,0.019091764449412567,-0.018396386527948123,25.367411725208445,44.24295995448961
Pinus_radiata,T1,2,1,15,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,17.75687320011398,31.402316316285138
Pinus_radiata,T1,2,2,30,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,24.667725084607465,46.23840536947601
Pinus_radiata,T1,2,3,45,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,24.188118263268596,56.81472725488881
Pinus_radiata,T1,2,4,60,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,23.07597921599165,53.1063297006432
Pinus_radiata,T1,2,5,75,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,26.032400945527154,46.028153846268076
Pinus_radiata,T1,2,6,90,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,25.642997809631435,43.986174875165695
Pinus_radiata,T1,2,7,105,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,23.7710358227041,NA
Pinus_radiata,T1,2,8,120,25,0.02,1.5,0.018880941749521336,-0.018396386527948123,26.917243918255938,51.35073821482529
Pinus_radiata,T1,3,1,15,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,15.381807468019042,36.31584662932194
Pinus_radiata,T1,3,2,30,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,NA,50.86356101698578
Pinus_radiata,T1,3,3,45,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,21.170164087082064,47.84731097707387
Pinus_radiata,T1,3,4,60,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,27.72981271680464,47.85373306576947
Pinus_radiata,T1,3,5,75,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,23.39923720113318,45.95342584619108
Pinus_radiata,T1,3,6,90,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,23.318373356078737,49.551395487272146
Pinus_radiata,T1,3,7,105,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,24.45731024878977,NA
Pinus_radiata,T1,3,8,120,25,0.02,1.5,-0.030914669587934353,-0.018396386527948123,22.654369757103343,51.33498566104703
Pinus_radiata,T1,4,1,15,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,19.63723174499339,35.177369040633955
Pinus_radiata,T1,4,2,30,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,26.791230241405266,56.71550972506367
Pinus_radiata,T1,4,3,45,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,27.886176666747893,62.55843580466656
Pinus_radiata,T1,4,4,60,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,27.232062401496258,54.34442952859566
Pinus_radiata,T1,4,5,75,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,28.07797469690524,57.36850477971247
Pinus_radiata,T1,4,6,90,25,0.02,1.5,0.13545495524161186,-0.018396386527948123,28.451531467061418,56.46362419762268
